Ticker,date,Open,High,Low,Close,Adj Close,Volume,is_gap,log_return,Volatility,Volatility_Norm,AdaptiveWindow,AdaptivePatch,dynamic_patch_len
LIN,1992-06-17,8.5,8.75,7.75,7.9375,4.677224159240723,902000,False,,,,50,48,16
LIN,1992-06-18,7.9375,7.9375,7.5,7.8125,4.603567123413086,421400,False,-0.0158733410003902,,,50,48,16
LIN,1992-06-19,7.8125,7.9375,7.75,7.875,4.64039421081543,453400,False,0.007967857265213717,,,50,48,16
LIN,1992-06-22,7.875,7.875,7.5625,7.625,4.493082523345947,597200,True,-0.032260324845092336,,,50,48,16
LIN,1992-06-23,7.625,7.75,7.625,7.6875,4.529910087585449,853800,False,0.008163094071127454,,,50,48,16
LIN,1992-06-24,7.6875,7.75,7.5,7.5625,4.456254482269287,357600,False,-0.01639348006403824,0.017486582189034632,0.1711408830572092,43,40,13
LIN,1992-06-25,7.6875,7.8125,7.6875,7.6875,4.529910087585449,785000,False,0.016393480064038245,0.02034890938469956,0.20073336435745348,41,40,13
LIN,1992-06-26,7.6875,7.75,7.625,7.75,4.566738605499268,435000,False,0.008097205988096922,0.020366772125996007,0.20091804025285315,41,40,13
LIN,1992-06-29,7.6875,7.8125,7.625,7.8125,4.603567123413086,386600,True,0.008032167520654245,0.012411528367849685,0.11867188666552979,45,48,16
LIN,1992-06-30,7.8125,8.0625,7.8125,8.0625,4.750880241394043,884400,False,0.031498450264146216,0.01736406696808112,0.16987424610859161,43,40,13
LIN,1992-07-01,7.875,7.9375,7.8125,7.875,4.64039421081543,552600,False,-0.023530592998932568,0.020104528666413053,0.19820680769859683,42,40,13
LIN,1992-07-02,7.9375,8.0625,7.6875,8.0625,4.750880241394043,1788200,False,0.023530592998932495,0.02107088348427049,0.20819757217868767,41,40,13
LIN,1992-07-06,7.9375,7.9375,7.6875,7.75,4.566738605499268,580400,True,-0.039530617784800375,0.030523414947927877,0.3059235977015215,37,40,13
LIN,1992-07-07,7.8125,7.8125,7.1875,7.3125,4.308938980102539,1147000,False,-0.05810759957194976,0.03925493311373416,0.3961953487562927,34,32,10
LIN,1992-07-08,7.375,7.375,6.8125,6.9375,4.0879669189453125,1192800,False,-0.05264393686483047,0.032790926326338066,0.32936651092448266,36,32,10
LIN,1992-07-09,6.9375,7.3125,6.9375,7.3125,4.308938980102539,2136600,False,0.052643936864830404,0.04984283262668783,0.5056595004509286,29,32,10
LIN,1992-07-10,7.1875,7.25,7.0625,7.125,4.1984543800354,866200,False,-0.025975244693498902,0.04500162992769264,0.45560819934262636,31,32,10
LIN,1992-07-13,7.125,7.25,7.125,7.1875,4.2352800369262695,846600,True,0.008732997534201868,0.04619177418005722,0.4679126352526903,31,32,10
LIN,1992-07-14,7.125,7.25,7.125,7.25,4.272110939025879,990000,False,0.008658619854125577,0.039855936591402116,0.40240888863433566,33,32,10
LIN,1992-07-15,7.25,7.375,7.25,7.3125,4.308938980102539,1080400,False,0.008583627305171555,0.027913868458234427,0.2789445172472227,38,40,13
LIN,1992-07-16,7.25,7.3125,7.125,7.1875,4.2352800369262695,2689000,False,-0.017242247159297015,0.016863162574037614,0.1646955915032088,43,40,13
LIN,1992-07-17,7.0625,7.3125,7.0625,7.3125,4.308938980102539,840400,False,0.0172422471592969,0.013082078468766528,0.12560444187875341,44,48,16
LIN,1992-07-20,6.9375,7.1875,6.875,7.125,4.1984543800354,1228200,True,-0.025975244693498902,0.018726323834362013,0.18395808701350327,42,40,13
LIN,1992-07-21,7.0,7.25,7.0,7.125,4.1984543800354,1279600,False,0.0,0.01790592428310671,0.17547629694561007,42,40,13
LIN,1992-07-22,6.9375,7.5625,6.9375,7.375,4.345766544342041,2743000,False,0.03448571022330576,0.02471882944230329,0.24591225857473745,40,40,13
LIN,1992-07-23,7.3125,7.5,7.3125,7.3125,4.308938980102539,2203800,False,-0.008510465529806938,0.02331438204043169,0.23139222622483444,40,40,13
LIN,1992-07-24,7.25,7.5,7.25,7.4375,4.382596015930176,1404000,False,0.01694954901441902,0.02327141669226835,0.23094802429571612,40,40,13
LIN,1992-07-27,7.4375,7.5625,7.3125,7.5,4.419423580169678,1308000,True,0.008368029345542986,0.01652885825383274,0.1612393498969953,43,40,13
LIN,1992-07-28,7.4375,7.5625,7.375,7.5,4.419423580169678,1134400,False,0.0,0.01652885825383274,0.1612393498969953,43,40,13
LIN,1992-07-29,7.5,7.5625,7.25,7.375,4.345766544342041,1697600,False,-0.016807112830155138,0.013343708181570609,0.12830932914512494,44,48,16
LIN,1992-07-30,7.4375,7.5,7.25,7.5,4.419423580169678,912800,False,0.016807112830155187,0.014089652723618036,0.13602135799528225,44,48,16
LIN,1992-07-31,7.4375,7.5625,7.4375,7.5625,4.456254482269287,1303000,False,0.00829933515985245,0.012730875408661215,0.12197349081051233,45,48,16
LIN,1992-08-03,7.5,7.6875,7.4375,7.6875,4.529910087585449,1616800,True,0.016393480064038245,0.01396993388800097,0.1347836317808751,44,48,16
LIN,1992-08-04,7.6875,7.8125,7.6875,7.75,4.566738605499268,1457000,False,0.008097205988096922,0.01372143289414289,0.13221447720449583,44,48,16
LIN,1992-08-05,7.75,7.8125,7.75,7.75,4.566738605499268,492000,False,0.0,0.006958695965588034,0.06229718528908251,47,48,16
LIN,1992-08-06,7.6875,7.75,7.5,7.625,4.493082523345947,1277800,False,-0.016260300059224544,0.01237882182658805,0.1183337465283203,45,48,16
LIN,1992-08-07,7.4375,7.5625,7.4375,7.5,4.419423580169678,306200,False,-0.01652972115276319,0.014647219702120113,0.14178582489827848,44,48,16
LIN,1992-08-10,7.3125,7.5,7.25,7.4375,4.382596015930176,593000,True,-0.00836802934554294,0.010660837333633934,0.10057217683116897,45,48,16
LIN,1992-08-11,7.4375,7.4375,7.25,7.25,4.272110939025879,1804800,False,-0.025533176319590616,0.009618369131824808,0.08979450584552559,46,48,16
LIN,1992-08-12,7.4375,7.5,7.125,7.25,4.272110939025879,1591600,False,0.0,0.009618369131824808,0.08979450584552559,46,48,16
LIN,1992-08-13,7.3125,7.5625,7.3125,7.5,4.419423580169678,1100600,False,0.033901205665133556,0.02285740634212103,0.22666773322228556,40,40,13
LIN,1992-08-14,7.5,7.9375,7.5,7.875,4.64039421081543,1476600,False,0.04879004599785539,0.0307230923916487,0.30798798468996164,37,40,13
LIN,1992-08-17,7.75,8.0,7.75,7.9375,4.677224159240723,1461000,True,0.007905483735176572,0.029144239379690157,0.2916648409546893,38,40,13
LIN,1992-08-18,8.0,8.1875,7.9375,8.0,4.714054584503174,1660200,False,0.007843578087675534,0.020710381819808395,0.20447048647707444,41,40,13
LIN,1992-08-19,8.0,8.125,7.875,7.9375,4.677224159240723,928000,False,-0.00784357808767557,0.02276920479827718,0.22575585195979228,40,40,13
LIN,1992-08-20,8.0,8.0625,8.0,8.0625,4.750880241394043,370400,False,0.015625109263756008,0.02100058195930819,0.2074707522099656,41,40,13
LIN,1992-08-21,8.0,8.3125,8.0,8.25,4.861366271972656,3771600,False,0.022989609468486008,0.011460589459294412,0.10884050124190792,45,48,16
LIN,1992-08-24,7.9375,8.1875,7.9375,8.0625,4.750880241394043,2085000,True,-0.022989609468486005,0.018543212727743414,0.18206497290457654,42,40,13
LIN,1992-08-25,8.125,8.1875,7.9375,8.125,4.787709712982178,1168800,False,0.007722242969917748,0.018535571731681223,0.1819859756350023,42,40,13
LIN,1992-08-26,8.0625,8.1875,8.0,8.1875,4.82453727722168,1347000,False,0.00766267127254633,0.017515804167077244,0.17144299765825544,43,40,13
LIN,1992-08-27,8.1875,8.25,8.125,8.125,4.787709712982178,764400,False,-0.007662671272546224,0.017479872555873865,0.17107151478437785,43,40,13
LIN,1992-08-28,8.0625,8.125,8.0,8.0625,4.750880241394043,516800,False,-0.007722242969917711,0.012840530069334187,0.12310716745669174,45,48,16
LIN,1992-08-31,8.125,8.125,8.0625,8.0625,4.750880241394043,304000,True,0.0,0.007692514787686455,0.06988385106356265,47,48,16
LIN,1992-09-01,8.0,8.125,7.9375,8.0,4.732249736785889,1067400,False,-0.003929193972884001,0.006429491956188815,0.056825952029698715,47,48,16
LIN,1992-09-02,7.9375,8.0,7.8125,7.875,4.658304691314697,1153600,False,-0.015749139083678778,0.005829606599947676,0.05062397197174366,47,48,16
LIN,1992-09-03,7.875,7.9375,7.8125,7.8125,4.621335983276367,474800,False,-0.007967744638879878,0.005839698556708584,0.05072830876530882,47,48,16
LIN,1992-09-04,7.875,7.875,7.6875,7.6875,4.547394275665283,461600,False,-0.016129454912042193,0.007138955920332704,0.06416082245398928,47,48,16
LIN,1992-09-08,7.75,7.8125,7.6875,7.6875,4.547394275665283,693800,True,0.0,0.007138955920332704,0.06416082245398928,47,48,16
LIN,1992-09-09,7.75,7.9375,7.75,7.9375,4.695277690887451,474200,False,0.03200287475183515,0.019896982557115642,0.19606106965452416,42,40,13
LIN,1992-09-10,8.0,8.0625,7.875,7.9375,4.695277690887451,867200,False,0.0,0.018271072236565523,0.17925141881180268,42,40,13
LIN,1992-09-11,8.0,8.0625,7.875,7.9375,4.695277690887451,856600,False,0.0,0.01756381377049972,0.171939350169479,43,40,13
LIN,1992-09-14,8.0625,8.25,8.0625,8.25,4.880130290985107,1092800,True,0.03861466148092349,0.01948017446630655,0.19175185383470475,42,40,13
LIN,1992-09-15,8.0625,8.1875,8.0625,8.0625,4.7692179679870605,1036400,False,-0.02298957503279551,0.025446571951067688,0.2534361037223571,39,40,13
LIN,1992-09-16,8.0,8.125,7.875,8.125,4.806190013885498,864000,False,0.007722329889650069,0.02219361760996573,0.21980508115603375,41,40,13
LIN,1992-09-17,8.125,8.125,8.0,8.125,4.806190013885498,660000,False,0.0,0.02219361760996573,0.21980508115603375,41,40,13
LIN,1992-09-18,8.125,8.1875,8.0625,8.1875,4.8431596755981445,1351400,False,0.007662659929594212,0.022054695710746006,0.21836882197815907,41,40,13
LIN,1992-09-21,8.125,8.1875,8.0625,8.125,4.806190013885498,491200,True,-0.007662659929594298,0.012835204504157267,0.12305210852137859,45,48,16
LIN,1992-09-22,8.125,8.1875,8.0625,8.0625,4.7692179679870605,1030000,False,-0.007722329889650141,0.007692552766188628,0.06988424370844164,47,48,16
LIN,1992-09-23,8.0,8.0625,7.8125,7.9375,4.695277690887451,714800,False,-0.015625086448127934,0.008834450321035312,0.08168987588416685,46,48,16
LIN,1992-09-24,7.9375,8.1875,7.9375,8.125,4.806190013885498,639400,False,0.023347416337778072,0.015542781841411306,0.15104469156464675,43,40,13
LIN,1992-09-25,8.125,8.125,8.0,8.125,4.806190013885498,438800,False,0.0,0.014965398765509803,0.14507535378154135,44,48,16
LIN,1992-09-28,8.0625,8.1875,8.0625,8.1875,4.8431596755981445,217600,True,0.007662659929594212,0.014965398765509792,0.14507535378154124,44,48,16
LIN,1992-09-29,8.1875,8.1875,8.0625,8.0625,4.7692179679870605,313000,False,-0.015384989819244375,0.016467084176440275,0.1606006918732568,43,40,13
LIN,1992-09-30,8.125,8.125,7.9375,8.0,4.732249736785889,675200,False,-0.007781622565362176,0.014906087541656524,0.14446215823721958,44,48,16
LIN,1992-10-01,7.9375,8.0,7.75,7.875,4.658304691314697,727800,False,-0.015749139083678778,0.010107573329149194,0.09485219669346512,46,48,16
LIN,1992-10-02,7.875,8.0,7.75,7.875,4.658304691314697,376000,False,0.0,0.010107573329149194,0.09485219669346512,46,48,16
LIN,1992-10-05,7.8125,7.875,7.4375,7.8125,4.621335983276367,815800,True,-0.007967744638879878,0.006503065749116894,0.057586602696998286,47,48,16
LIN,1992-10-06,7.75,7.8125,7.5,7.75,4.584364891052246,600800,False,-0.008032259900952656,0.005568996549599091,0.047929626596666906,48,48,16
LIN,1992-10-07,7.8125,8.0,7.75,7.9375,4.695277690887451,491400,False,0.02390567974074565,0.015290643171192605,0.14843792847522222,44,48,16
LIN,1992-10-08,7.9375,8.0625,7.9375,8.0,4.732249736785889,327400,False,0.007843463882765717,0.013336008838093069,0.12822972864444554,44,48,16
LIN,1992-10-09,7.9375,7.9375,7.625,7.625,4.510424613952637,628200,False,-0.04800942236486349,0.026729024784050745,0.26669488194169355,39,40,13
LIN,1992-10-12,7.6875,7.75,7.5,7.5625,4.473454475402832,629600,True,-0.008230375069707216,0.026733005699864334,0.26673603907318777,39,40,13
LIN,1992-10-13,7.5625,7.75,7.5625,7.6875,4.547394275665283,1432200,False,0.01639345879996995,0.02855379894672533,0.285560508264184,38,40,13
LIN,1992-10-14,7.625,7.8125,7.5625,7.6875,4.547394275665283,941200,False,0.0,0.024990359782454848,0.24871950455470565,40,40,13
